Compound,Source (ICSD ID or reference),A,A Oxidation State,B, B Oxidation State,B',B' Oxidation State,X,X Oxidation State,A Radius,B Radius,B' Radius,X Radius
AgCoF3,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Co,2,Co,2,F,-1,1.22,0.65,0.65,1.33
AgCuF3,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Cu,2,Cu,2,F,-1,1.22,0.73,0.73,1.33
AgMgF3,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Mg,2,Mg,2,F,-1,1.22,0.72,0.72,1.33
AgMnF3,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Mn,2,Mn,2,F,-1,1.22,0.67,0.67,1.33
AgNbO3,55643,Ag,1,Nb,5,Nb,5,O,-2,1.22,0.64,0.64,1.4
AgNiF3,"Acta Cryst B 64, 702-707 (2008)",Ag,1,Ni,2,Ni,2,F,-1,1.22,0.69,0.69,1.33
AgSbO3,"J Alloy and Compounds, 372, 40-48 (2008)",Ag,1,Sb,5,Sb,5,O,-2,1.22,0.6,0.6,1.4
AgTaO3,40830,Ag,1,Ta,5,Ta,5,O,-2,1.22,0.64,0.64,1.4
AgVO3,"J Alloy and Compounds, 372, 40-48 (2008)",Ag,1,V,5,V,5,O,-2,1.22,0.54,0.54,1.4
AgZnF3,28950,Ag,1,Zn,2,Zn,2,F,-1,1.22,0.74,0.74,1.33
BaAmO3,61317,Ba,2,Am,4,Am,4,O,-2,1.61,0.85,0.85,1.4
BaCeO3,88590,Ba,2,Ce,4,Ce,4,O,-2,1.61,0.87,0.87,1.4
BaFeO3,28918,Ba,2,Fe,4,Fe,4,F,-2,1.61,0.585,0.585,
BaHfO3,"J Alloy and Compounds, 372, 40-48 (2008)",Ba,2,Hf,4,Hf,4,O,-2,1.61,0.71,0.71,1.4
BaIrO3,248378,Ba,2,Ir,4,Ir,4,O,-2,1.61,0.625,0.625,1.4
BaMoO3,43799,Ba,2,Mo,4,Mo,4,O,-2,1.61,0.65,0.65,1.4
BaNbO3,50275,Ba,2,Nb,4,Nb,4,O,-2,1.61,0.68,0.68,1.4
BaNpO3,61316,Ba,2,Np,4,Np,4,O,-2,1.61,0.87,0.87,1.4
BaOsO3,237730,Ba,2,Os,4,Os,4,O,-2,1.61,0.63,0.63,1.4
BaPbO3,51656,Ba,2,Pb,4,Pb,4,O,-2,1.61,0.775,0.775,1.4
BaPrO3,163752,Ba,2,Pr,4,Pr,4,O,-2,1.61,0.85,0.85,1.4
BaPuO3,43768,Ba,2,Pu,4,Pu,4,O,-2,1.61,0.86,0.86,1.4
BaSnO3,27049,Ba,2,Sn,4,Sn,4,O,-2,1.61,0.69,0.69,1.4
BaTbO3,86736,Ba,2,Tb,4,Tb,4,O,-2,1.61,0.76,0.76,1.4
BaThO3,29110,Ba,2,Th,4,Th,4,O,-2,1.61,0.94,0.94,1.4
BaUO3,77627,Ba,2,U,4,U,4,O,-2,1.61,0.89,0.89,1.4
BaZrO3,190881,Ba,2,Zr,4,Zr,4,O,-2,1.61,0.72,0.72,1.4
BiAlO3,171708,Bi,3,Al,3,Al,3,O,-2,1.03,0.535,0.535,1.4
BiCoO3,247467,Bi,3,Co,3,Co,3,O,-2,1.03,0.61,0.61,1.4
BiCrO3,174403,Bi,3,Cr,3,Cr,3,O,-2,1.03,0.615,0.615,1.4
BiFeO3,162895,Bi,3,Fe,3,Fe,3,O,-2,1.03,0.55,0.55,1.4
BiInO3,171757,Bi,3,In,3,In,3,O,-2,1.03,0.8,0.8,1.4
BiMnO3,238293,Bi,3,Mn,3,Mn,3,O,-2,1.03,0.645,0.645,1.4
BiRhO3,108996,Bi,3,Rh,3,Rh,3,O,-2,1.03,0.665,0.665,1.4
CaCeO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Ca,2,Ce,4,Ce,4,O,-2,1.34,0.87,0.87,1.4
CaCrO3,245840,Ca,2,Cr,4,Cr,4,O,-2,1.34,0.55,0.55,1.4
CaFeO3,248483,Ca,2,Fe,4,Fe,4,O,-2,1.34,0.585,0.585,1.4
